t_sec x_m y_m z_m vx_ms vy_ms vz_ms
22637.3051 -31439269.4098 -48029476.7162 -4199256.3865 89.6489 -2051.7914 -176.6512
22697.3051 -31433772.4123 -48152403.6298 -4209839.6709 93.5808 -2045.7751 -176.1252
22757.3051 -31428040.1365 -48274970.0499 -4220391.4332 97.4915 -2039.7749 -175.6005
22817.3051 -31422073.8459 -48397176.9338 -4230911.7584 101.3813 -2033.7906 -175.0772
22877.3051 -31415874.7928 -48519025.2316 -4241400.7308 105.2503 -2027.8220 -174.5554
22937.3051 -31409444.2182 -48640515.8864 -4251858.4341 109.0987 -2021.8691 -174.0349
22997.3051 -31402783.3524 -48761649.8341 -4262284.9514 112.9267 -2015.9317 -173.5159
23057.3050 -31395893.4147 -48882428.0038 -4272680.3650 116.7345 -2010.0098 -172.9982
23117.3051 -31388775.6136 -49002851.3177 -4283044.7567 120.5222 -2004.1032 -172.4818
23177.3050 -31381431.1472 -49122920.6913 -4293378.2079 124.2900 -1998.2118 -171.9668
23237.3051 -31373861.2030 -49242637.0331 -4303680.7992 128.0382 -1992.3355 -171.4531
23297.3051 -31366066.9584 -49362001.2453 -4313952.6104 131.7667 -1986.4741 -170.9408
23357.3051 -31358049.5804 -49481014.2230 -4324193.7211 135.4760 -1980.6276 -170.4298
23417.3051 -31349810.2261 -49599676.8551 -4334404.2102 139.1660 -1974.7959 -169.9201
23477.3051 -31341350.0425 -49717990.0240 -4344584.1558 142.8370 -1968.9788 -169.4117
23537.3051 -31332670.1668 -49835954.6054 -4354733.6356 146.4891 -1963.1763 -168.9045
23597.3051 -31323771.7266 -49953571.4688 -4364852.7268 150.1225 -1957.3882 -168.3987
23657.3051 -31314655.8399 -50070841.4774 -4374941.5060 153.7373 -1951.6145 -167.8941
23717.3050 -31305323.6150 -50187765.4881 -4385000.0491 157.3338 -1945.8549 -167.3908
23777.3051 -31295776.1513 -50304344.3515 -4395028.4315 160.9120 -1940.1095 -166.8888
23837.3051 -31286014.5383 -50420578.9121 -4405026.7282 164.4721 -1934.3782 -166.3880
23897.3051 -31276039.8570 -50536470.0083 -4414995.0136 168.0143 -1928.6607 -165.8884
23957.3051 -31265853.1790 -50652018.4726 -4424933.3613 171.5387 -1922.9571 -165.3901
24017.3050 -31255455.5671 -50767225.1313 -4434841.8448 175.0454 -1917.2672 -164.8929
24077.3051 -31244848.0751 -50882090.8048 -4444720.5367 178.5347 -1911.5909 -164.3970
24137.3051 -31234031.7483 -50996616.3077 -4454569.5093 182.0066 -1905.9281 -163.9023
24197.3051 -31223007.6233 -51110802.4486 -4464388.8343 185.4613 -1900.2788 -163.4087
24257.3051 -31211776.7282 -51224650.0306 -4474178.5829 188.8990 -1894.6428 -162.9164
24317.3051 -31200340.0827 -51338159.8509 -4483938.8257 192.3197 -1889.0201 -162.4252
24377.3050 -31188698.6981 -51451332.7009 -4493669.6330 195.7237 -1883.4105 -161.9352
24437.3051 -31176853.5774 -51564169.3665 -4503371.0744 199.1109 -1877.8139 -161.4464
24497.3051 -31164805.7157 -51676670.6280 -4513043.2191 202.4817 -1872.2303 -160.9587
24557.3051 -31152556.1000 -51788837.2603 -4522686.1358 205.8361 -1866.6596 -160.4721
24617.3051 -31140105.7092 -51900670.0325 -4532299.8926 209.1742 -1861.1016 -159.9867
24677.3050 -31127455.5145 -52012169.7086 -4541884.5573 212.4962 -1855.5564 -159.5024
24737.3051 -31114606.4792 -52123337.0470 -4551440.1971 215.8023 -1850.0237 -159.0192
24797.3051 -31101559.5591 -52234172.8007 -4560966.8788 219.0924 -1844.5035 -158.5371
24857.3051 -31088315.7022 -52344677.7176 -4570464.6686 222.3669 -1838.9958 -158.0561
24917.3051 -31074875.8491 -52454852.5402 -4579933.6324 225.6257 -1833.5004 -157.5762
24977.3051 -31061240.9331 -52564698.0058 -4589373.8356 228.8690 -1828.0172 -157.0974
25037.3051 -31047411.8800 -52674214.8466 -4598785.3429 232.0969 -1822.5462 -156.6197
25097.3051 -31033389.6082 -52783403.7896 -4608168.2189 235.3096 -1817.0873 -156.1430
25157.3051 -31019175.0293 -52892265.5568 -4617522.5275 238.5072 -1811.6403 -155.6674
25217.3050 -31004769.0475 -53000800.8651 -4626848.3323 241.6897 -1806.2053 -155.1929
25277.3051 -30990172.5600 -53109010.4263 -4636145.6964 244.8574 -1800.7821 -154.7194
25337.3051 -30975386.4573 -53216894.9475 -4645414.6824 248.0103 -1795.3706 -154.2470
25397.3051 -30960411.6228 -53324455.1307 -4654655.3525 251.1485 -1789.9708 -153.7755
25457.3051 -30945248.9331 -53431691.6731 -4663867.7686 254.2721 -1784.5826 -153.3052
25517.3051 -30929899.2583 -53538605.2669 -4673051.9919 257.3813 -1779.2058 -152.8358
25577.3051 -30914363.4616 -53645196.5998 -4682208.0834 260.4762 -1773.8405 -152.3674
25637.3051 -30898642.3997 -53751466.3545 -4691336.1036 263.5568 -1768.4865 -151.9001
25697.3051 -30882736.9229 -53857415.2090 -4700436.1126 266.6234 -1763.1438 -151.4337
25757.3050 -30866647.8751 -53963043.8368 -4709508.1700 269.6759 -1757.8123 -150.9684
25817.3051 -30850376.0935 -54068352.9067 -4718552.3352 272.7145 -1752.4919 -150.5040
25877.3050 -30833922.4095 -54173343.0827 -4727568.6669 275.7393 -1747.1825 -150.0406
25937.3051 -30817287.6479 -54278015.0244 -4736557.2236 278.7504 -1741.8841 -149.5781
25997.3051 -30800472.6275 -54382369.3869 -4745518.0634 281.7480 -1736.5965 -149.1167
26057.3051 -30783478.1609 -54486406.8208 -4754451.2438 284.7320 -1731.3198 -148.6562
26117.3051 -30766305.0548 -54590127.9721 -4763356.8221 287.7026 -1726.0537 -148.1966
26177.3051 -30748954.1098 -54693533.4826 -4772234.8553 290.6600 -1720.7984 -147.7380
26237.3051 -30731426.1207 -54796623.9895 -4781085.3996 293.6041 -1715.5536 -147.2803
26297.3051 -30713721.8765 -54899400.1257 -4789908.5113 296.5352 -1710.3193 -146.8236
26357.3051 -30695842.1602 -55001862.5199 -4798704.2460 299.4532 -1705.0955 -146.3677
26417.3050 -30677787.7494 -55104011.7965 -4807472.6590 302.3583 -1699.8821 -145.9128
26477.3051 -30659559.4157 -55205848.5755 -4816213.8053 305.2507 -1694.6789 -145.4589
26537.3051 -30641157.9253 -55307373.4727 -4824927.7394 308.1302 -1689.4860 -145.0058
26597.3051 -30622584.0388 -55408587.1000 -4833614.5155 310.9972 -1684.3033 -144.5536
26657.3051 -30603838.5115 -55509490.0648 -4842274.1875 313.8516 -1679.1306 -144.1023
26717.3050 -30584922.0928 -55610082.9705 -4850906.8087 316.6936 -1673.9679 -143.6519
26777.3051 -30565835.5273 -55710366.4165 -4859512.4323 319.5232 -1668.8152 -143.2024
26837.3051 -30546579.5539 -55810340.9980 -4868091.1110 322.3405 -1663.6724 -142.7537
26897.3051 -30527154.9063 -55910007.3064 -4876642.8972 325.1457 -1658.5395 -142.3060
26957.3051 -30507562.3131 -56009365.9288 -4885167.8430 327.9387 -1653.4162 -141.8590
27017.3051 -30487802.4976 -56108417.4486 -4893665.9999 330.7198 -1648.3027 -141.4130
27077.3050 -30467876.1782 -56207162.4450 -4902137.4193 333.4889 -1643.1988 -140.9678
27137.3051 -30447784.0680 -56305601.4937 -4910582.1522 336.2462 -1638.1044 -140.5234
27197.3051 -30427526.8753 -56403735.1660 -4919000.2492 338.9917 -1633.0196 -140.0799
27257.3051 -30407105.3033 -56501564.0299 -4927391.7606 341.7255 -1627.9441 -139.6373
27317.3051 -30386520.0503 -56599088.6491 -4935756.7364 344.4477 -1622.8781 -139.1954
27377.3050 -30365771.8100 -56696309.5839 -4944095.2261 347.1584 -1617.8213 -138.7544
27437.3051 -30344861.2709 -56793227.3905 -4952407.2791 349.8577 -1612.7738 -138.3142
27497.3051 -30323789.1170 -56889842.6217 -4960692.9443 352.5456 -1607.7354 -137.8748
27557.3051 -30302556.0277 -56986155.8263 -4968952.2703 355.2222 -1602.7062 -137.4362
27617.3051 -30281162.6773 -57082167.5496 -4977185.3054 357.8876 -1597.6861 -136.9984
